ID,Region,VISN,AdminParent,StationNumber,MHClinicPhone,MHPhone,Extension,OfficialStationName,POC Email,Status,Modified,Created,AddedToOutbox
866,5,V21,593,593GC,7757277535,775-727-7535,40046,Pahrump VA Clinic,gayle.morgan@va.gov,UPDATE DUE,2019-09-14 20:15:51.000,2016-10-25 11:50:55.000,2019-09-20 13:00:21.273
867,3,V15,589,589GV,7853503111,785-350-3111,54335,Fort Scott VA Clinic,alfred.mooney@va.gov,PENDING POC,2018-07-27 21:43:29.000,2016-10-25 12:04:50.000,2019-09-20 13:00:21.273
868,5,V21,593,593GD,7027919062,702-791-9062,NULL,Northwest Las Vegas VA Clinic,diane.beleau@va.gov,UPDATE DUE,2019-09-18 18:15:48.000,2016-10-25 12:07:44.000,2019-09-20 13:00:21.273
869,5,V21,593,593GE,7027919062,702-791-9062,NULL,Southeast Las Vegas VA Clinic,diane.beleau@va.gov,UPDATE DUE,2019-09-18 18:13:39.000,2016-10-25 12:10:19.000,2019-09-20 13:00:21.273
870,3,V15,589,589G1,8168614700,816-861-4700,52641,Warrensburg VA Clinic,melissa.messina@va.gov,UPDATED,2019-09-14 19:16:07.000,2016-10-25 12:11:41.000,2019-09-20 13:00:21.273
871,3,V15,589,589GC,8168614700,816-861-4700,52641,Paola VA Clinic,melissa.messina@va.gov,UPDATED,2019-09-14 19:16:07.000,2016-10-25 12:12:19.000,2019-09-20 13:00:21.273
872,3,V15,589,589GD,8168614700,816-861-4700,52641,Nevada VA Clinic,melissa.messina@va.gov,UPDATED,2019-09-14 19:16:07.000,2016-10-25 12:12:59.000,2019-09-20 13:00:21.273
873,3,V15,589,589JB,8168614700,816-861-4700,52641,Excelsior Springs VA Clinic,melissa.messina@va.gov,UPDATED,2019-09-14 19:16:07.000,2016-10-25 12:13:32.000,2019-09-20 13:00:21.273
874,5,V21,593,593GF,7027919062,702-791-9062,NULL,Southwest Las Vegas VA Clinic,diane.beleau@va.gov,UPDATE DUE,2019-09-18 18:13:38.000,2016-10-25 12:15:14.000,2019-09-20 13:00:21.273
875,5,V21,593,593GG,7027919062,702-791-9062,NULL,Northeast Las Vegas VA Clinic,diane.beleau@va.gov,UPDATE DUE,2019-09-18 18:13:40.000,2016-10-25 12:16:41.000,2019-09-20 13:00:21.273
876,3,V15,589,589G2,6202257171,620-225-7171,41019,Dodge City VA Clinic,cherie.cell@va.gov,UPDATE DUE,2019-09-06 22:25:47.000,2016-10-25 12:40:41.000,2019-09-20 13:00:21.273
877,3,V15,589,589G4,8888786881,888-878-6881,41019,Hays VA Clinic,cherie.cell@va.gov,UPDATE DUE,2019-09-06 22:25:48.000,2016-10-25 12:42:13.000,2019-09-20 13:00:21.273
878,3,V15,589,589G5,8888786881,888-878-6881,41069,Parsons VA Clinic,lori.shaw@va.gov,UPDATED,2019-09-05 17:41:01.000,2016-10-25 12:44:40.000,2019-09-20 13:00:21.273
879,3,V15,589,589G7,8888786881,888-878-6881,41112,Hutchinson VA Clinic,bunny.czarnopys@va.gov,UPDATED,2019-09-14 19:21:06.000,2016-10-25 12:45:52.000,2019-09-20 13:00:21.273
880,3,V15,589,589GW,8888786881,888-878-6881,41020,Salina VA Clinic,rodrigo.bonilla@va.gov,PENDING POC,2018-07-27 21:35:42.000,2016-10-25 12:48:08.000,2019-09-20 13:00:21.273
881,1,V06,652,652,8046755116,804-675-5116,NULL,Hunter Holmes McGuire Hospital,sonya.matthews@va.gov,UPDATE DUE,2019-09-06 22:32:15.000,2016-10-25 13:42:34.000,2019-09-20 13:00:21.273
882,1,V06,652,652GA,5403704468,540-370-4468,NULL,Fredericksburg VA Clinic,sonya.matthews@va.gov,UPDATE DUE,2019-09-06 22:32:15.000,2016-10-25 13:43:54.000,2019-09-20 13:00:21.273
883,1,V06,652,652GB,5406933140,540-693-3140,NULL,Fredericksburg 2 VA Clinic,sonya.matthews@va.gov,UPDATE DUE,2019-09-15 02:08:26.000,2016-10-25 13:45:03.000,2019-09-20 13:00:21.273
884,3,V15,657,657,3146524100,314-652-4100,66653,John Cochran Veterans Hospital,john.farrell@va.gov,UPDATED,2019-09-14 19:25:22.000,2016-10-25 14:50:17.000,2019-09-20 13:00:21.273
885,3,V15,657,657GA,3146524100,314-652-4100,66653,Belleville VA Clinic,john.farrell@va.gov,UPDATED,2019-09-14 19:22:05.000,2016-10-25 14:53:23.000,2019-09-20 13:00:21.273
886,3,V15,657,657GB,3146524100,314-652-4100,66653,St. Louis County VA Clinic,john.farrell@va.gov,UPDATED,2019-09-14 19:25:22.000,2016-10-25 14:56:29.000,2019-09-20 13:00:21.273
887,3,V15,657,657GD,3146524100,314-652-4100,66653,St. Charles County VA Clinic,john.farrell@va.gov,UPDATED,2019-09-14 19:25:19.000,2016-10-25 15:03:16.000,2019-09-20 13:00:21.273
888,3,V15,657,657GS,3146524100,314-652-4100,66653,Washington VA Clinic,john.farrell@va.gov,UPDATED,2019-09-14 19:22:05.000,2016-10-25 15:04:54.000,2019-09-20 13:00:21.273
889,1,V01,405,405GA,8024403300,802-440-3300,NULL,Bennington VA Clinic,laura.gibson2@va.gov,UPDATED,2019-09-13 13:46:55.000,2016-10-25 15:23:08.000,2019-09-20 13:00:21.273
890,1,V01,405,405GC,8022512200,802-251-2200,NULL,Brattleboro VA Clinic,laura.gibson2@va.gov,UPDATED,2019-08-12 22:55:29.000,2016-10-25 15:23:55.000,2019-09-20 13:00:21.273
891,1,V01,405,405HA,8026577090,802-657-7090,NULL,Burlington Lakeside VA Clinic,laura.gibson2@va.gov,UPDATED,2019-09-16 17:26:11.000,2016-10-25 15:24:19.000,2019-09-20 13:00:21.273
892,1,V01,405,405HC,6035756700,603-575-6700,NULL,Littleton VA Clinic,laura.gibson2@va.gov,UPDATED,2019-09-16 17:26:10.000,2016-10-25 15:24:49.000,2019-09-20 13:00:21.273
893,1,V01,405,405HE,6033584900,603-358-4900,NULL,Keene VA Clinic,laura.gibson2@va.gov,UPDATED,2019-08-19 22:46:46.000,2016-10-25 15:25:20.000,2019-09-20 13:00:21.273
894,1,V01,405,405HF,8027722300,802-772-2300,NULL,Rutland VA Clinic,laura.gibson2@va.gov,UPDATED,2019-09-13 13:46:55.000,2016-10-25 15:26:04.000,2019-09-20 13:00:21.273
896,3,V23,568,568HM,6053472511,605-347-2511,NULL,Eagle Butte VA Clinic,visn23mentalhealthexecutiveteam@va.gov,UPDATED,2019-09-15 02:51:48.000,2016-10-25 15:33:25.000,2019-09-20 13:00:21.273
897,3,V10,538,538GA,7407731141,740-773-1141,7871,Athens VA Clinic,robert.taylor4@va.gov,UPDATED,2019-09-18 16:45:48.000,2016-10-25 15:37:45.000,2019-09-20 13:00:21.273
899,3,V10,538,538GB,7407731141,740-773-1141,7871,Portsmouth VA Clinic,robert.taylor4@va.gov,UPDATED,2019-09-19 14:36:20.000,2016-10-25 15:39:11.000,2019-09-20 13:00:21.273
900,3,V10,538,538GC,7407731141,740-773-1141,7871,Marietta VA Clinic,robert.taylor4@va.gov,UPDATED,2019-09-19 14:36:19.000,2016-10-25 15:39:36.000,2019-09-20 13:00:21.273
901,3,V10,538,538GD,7407731141,740-773-1141,7871,Lancaster VA Clinic,robert.taylor4@va.gov,UPDATED,2019-09-18 16:46:19.000,2016-10-25 15:40:01.000,2019-09-20 13:00:21.273
902,3,V10,538,538GE,7407731141,740-773-1141,7871,Cambridge VA Clinic,robert.taylor4@va.gov,UPDATED,2019-09-19 14:36:19.000,2016-10-25 15:40:24.000,2019-09-20 13:00:21.273
903,5,V21,662,662GE,6506156030,650-615-6030,NULL,San Bruno VA Clinic,isaac.shayesteh@va.gov,UPDATED,2019-09-01 03:20:51.000,2016-10-25 15:46:12.000,2019-09-20 13:00:21.273
904,5,V21,662,662GF,4152815000,415-281-5000,NULL,San Francisco VA Clinic,stephen.robinson4@va.gov,UPDATED,2019-06-08 20:20:25.000,2016-10-25 15:47:36.000,2019-09-20 13:00:21.273
905,1,V02,528,528A4,7168623117,716-862-3117,NULL,Batavia VA Medical Center,joan.chipps2@va.gov,UPDATED,2019-09-19 17:35:36.000,2016-10-25 15:55:26.000,2019-09-20 13:00:21.273
906,1,V02,528,528GB,7168623117,716-862-3117,NULL,Jamestown VA Clinic,joan.chipps2@va.gov,UPDATE DUE,2019-09-12 17:36:10.000,2016-10-25 15:56:22.000,2019-09-20 13:00:21.273
907,1,V02,528,528GC,7168623117,716-862-3117,NULL,Dunkirk VA Clinic,joan.chipps2@va.gov,UPDATED,2019-09-19 17:42:28.000,2016-10-25 15:57:23.000,2019-09-20 13:00:21.273
908,1,V02,528,528GD,7168623117,716-862-3117,NULL,Niagara Falls VA Clinic,joan.chipps2@va.gov,UPDATED,2019-09-19 17:36:42.000,2016-10-25 15:58:04.000,2019-09-20 13:00:21.273
909,1,V02,528,528GK,7168623117,716-862-3117,NULL,Lockport VA Clinic,joan.chipps2@va.gov,UPDATED,2019-08-22 17:26:59.000,2016-10-25 15:59:28.000,2019-09-20 13:00:21.273
910,1,V02,528,528GQ,7168623117,716-862-3117,NULL,Lackawanna VA Clinic,joan.chipps2@va.gov,UPDATED,2019-08-29 17:30:22.000,2016-10-25 16:00:28.000,2019-09-20 13:00:21.273
911,5,V21,662,662GD,7074687748,707-468-7748,NULL,Ukiah VA Clinic,matthew.brauer@va.gov,UPDATE DUE,2019-09-06 22:20:26.000,2016-10-25 16:00:28.000,2019-09-20 13:00:21.273
912,5,V21,662,662GC,7072697500,707-269-7500,NULL,Eureka VA Clinic,matthew.brauer@va.gov,UPDATE DUE,2019-09-06 20:31:27.000,2016-10-25 16:01:22.000,2019-09-20 13:00:21.273
913,1,V02,528,528GR,7168623117,716-862-3117,NULL,Olean VA Clinic,joan.chipps2@va.gov,UPDATED,2019-09-19 17:35:36.000,2016-10-25 16:01:37.000,2019-09-20 13:00:21.273
914,5,V21,662,662GG,7079957200,707-995-7200,NULL,Clearlake VA Clinic,matthew.brauer@va.gov,UPDATE DUE,2019-09-06 22:16:19.000,2016-10-25 16:02:11.000,2019-09-20 13:00:21.273
915,5,V21,662,662GA,7075692300,707-569-2300,NULL,Santa Rosa VA Clinic,matthew.brauer@va.gov,UPDATE DUE,2019-09-06 22:15:44.000,2016-10-25 16:04:22.000,2019-09-20 13:00:21.273
918,4,V19,623,623QB,9186102000,918-610-2000,NULL,Tulsa Eleventh Street VA Clinic,steffanie.ward@va.gov,UPDATED,2019-09-17 10:41:54.000,2016-11-30 14:12:29.000,2019-09-20 13:00:21.273
920,3,V10,506,506QA,7348453414,734-845-3414,NULL,Ann Arbor VA Clinic,brian.oliver2@va.gov,UPDATED,2019-09-18 16:51:26.000,2017-04-12 11:37:57.000,2019-09-20 13:00:21.273
931,99,Test,999,999,1234567890,123-456-7890,0,Test Station 1,elena.cherkasova@va.gov,UPDATE DUE,2019-09-15 18:25:55.000,2018-07-19 12:28:03.000,2019-09-20 13:00:21.273
932,99,Test,999,999AA,9876543210,987-654-3210,1111,Test Station 2,elena.cherkasova@va.gov,UPDATED,2019-05-25 21:20:47.000,2018-07-19 12:29:03.000,2019-09-20 13:00:21.273
934,99,Test,999,999,1234567890,123-456-7890,1111,Test Station 1,elena.cherkasova@va.gov,UPDATE DUE,2019-09-10 18:07:12.000,2019-04-18 15:06:20.000,2019-09-20 13:00:21.273
935,1,V01,608,608GD,6036244366,603-624-4366,3199,Conway VA Clinic,rosamaria.pellegrino@va.gov,UPDATED,2019-08-05 14:52:00.000,2019-06-29 00:59:40.000,2019-09-20 13:00:21.273
936,1,V01,402,402GB,2076238411,207-623-8411,3700,Calais VA Clinic,michelle.tancrede@va.gov,NEW SUBMIT,2019-08-04 01:47:43.000,2019-07-01 07:00:56.000,2019-09-20 13:00:21.273
937,1,V01,402,402GF,2076238411,207-623-8411,3100,Lincoln VA Clinic,michelle.tancrede@va.gov,NEW SUBMIT,2019-08-04 01:47:44.000,2019-07-01 07:02:09.000,2019-09-20 13:00:21.273
938,1,V01,405,405QB,8026242400,802-624-2400,NULL,Newport VA Clinic,brian.ohare@va.gov,NEW SUBMIT,2019-08-04 01:47:45.000,2019-07-02 10:00:10.000,2019-09-20 13:00:21.273
939,1,V02,561,561GK,0,0--,NULL,Sussex VA Clinic,NULL,PENDING POC,2019-08-04 01:49:13.000,2019-08-04 01:43:44.000,2019-09-20 13:00:21.273
29,1,V04,529,529,8003628262,800-362-8262,NULL,Butler VA Medical Center,nancy.reesman@va.gov,UPDATED,2019-08-27 00:30:47.000,2016-10-13 15:23:40.000,2019-09-20 13:00:21.273
33,4,V19,660,660,8015841217,801-584-1217,2321,George E. Wahlen Department of Veterans Affairs Medical Center,rebecca.mabe@va.gov,UPDATED,2019-09-14 20:00:43.000,2016-10-13 18:01:57.000,2019-09-20 13:00:21.273
37,1,V02,561,561,9736761000,973-676-1000,1421,East Orange VA Medical Center,emanuel.anderson@va.gov,PENDING POC,2019-08-04 01:00:42.000,2016-10-14 06:51:43.000,2019-09-20 13:00:21.273
38,1,V04,562,562,8148602038,814-860-2038,NULL,Erie VA Medical Center,jessica.johnson5@va.gov,UPDATED,2019-09-17 00:35:26.000,2016-10-14 07:56:13.000,2019-09-20 13:00:21.273
39,1,V04,562,562GA,8148602038,814-860-2038,NULL,Crawford County VA Clinic,jessica.johnson5@va.gov,UPDATED,2019-09-17 00:35:28.000,2016-10-14 08:19:45.000,2019-09-20 13:00:21.273
40,2,V08,546,546,3055757000,305-575-7000,3914,Bruce W. Carter Department of Veterans Affairs Medical Center,gloria.lewis@va.gov,UPDATE DUE,2019-09-06 22:15:45.000,2016-10-14 08:46:11.000,2019-09-20 13:00:21.273
41,1,V04,562,562GB,8148602038,814-860-2038,NULL,Ashtabula County VA Clinic,jessica.johnson5@va.gov,UPDATED,2019-09-16 01:01:31.000,2016-10-14 08:53:44.000,2019-09-20 13:00:21.273
42,1,V04,562,562GD,8148602038,814-860-2038,NULL,Venango County VA Clinic,jessica.johnson5@va.gov,UPDATED,2019-09-17 00:30:56.000,2016-10-14 09:08:01.000,2019-09-20 13:00:21.273
43,1,V04,562,562GE,8148602038,814-860-2038,NULL,Warren County VA Clinic,jessica.johnson5@va.gov,UPDATED,2019-09-17 00:35:30.000,2016-10-14 09:09:09.000,2019-09-20 13:00:21.273
44,4,V16,586,586,6013624471,601-362-4471,56188,G.V. (Sonny) Montgomery Department of Veterans Affairs Medical Center,evelyn.jackson@va.gov,UPDATE DUE,2019-09-14 19:35:49.000,2016-10-14 09:13:22.000,2019-09-20 13:00:21.273
45,4,V19,666,666,3076753903,307-675-3903,NULL,Sheridan VA Medical Center,janet.tams@va.gov,UPDATED,2019-09-14 20:05:37.000,2016-10-14 09:17:42.000,2019-09-20 13:00:21.273
46,2,V08,546,546GA,3055757000,305-575-7000,2502,Miami Flagler VA Clinic,lashon.black@va.gov,UPDATE DUE,2019-09-18 15:56:31.000,2016-10-14 09:32:37.000,2019-09-20 13:00:21.273
47,2,V08,675,675,4076312050,407-631-2050,NULL,Orlando VA Medical Center,marty.hogan@va.gov,UPDATED,2019-09-18 16:36:00.000,2016-10-14 09:34:15.000,2019-09-20 13:00:21.273
48,2,V08,546,546BZ,3055755000,305-575-5000,3214,"William ""Bill"" Kling Department of Veterans Affairs Outpatient Clinic",simone.edwards@va.gov,UPDATED,2019-09-18 16:01:49.000,2016-10-14 09:34:55.000,2019-09-20 13:00:21.273
49,2,V08,675,675GA,3216373788,321-637-3788,NULL,Viera VA Clinic,marty.hogan@va.gov,UPDATED,2019-09-18 16:36:01.000,2016-10-14 09:40:06.000,2019-09-20 13:00:21.273
50,2,V08,675,675GB,3863666700,386-366-6700,NULL,"William V. Chappell, Jr. Veterans' Outpatient Clinic",marty.hogan@va.gov,UPDATED,2019-09-18 16:36:05.000,2016-10-14 09:43:16.000,2019-09-20 13:00:21.273
51,2,V08,675,675GC,4075185004,407-518-5004,NULL,Kissimmee VA Clinic,marty.hogan@va.gov,UPDATED,2019-08-21 16:30:57.000,2016-10-14 09:44:55.000,2019-09-20 13:00:21.273
52,1,V01,402,402,2076238411,207-623-8411,5515,Togus VA Medical Center,michelle.tancrede@va.gov,UPDATED,2019-09-16 22:12:05.000,2016-10-14 09:47:10.000,2019-09-20 13:00:21.273
53,1,V01,402,402GA,2076238411,207-623-8411,7490,Caribou VA Clinic,michelle.tancrede@va.gov,UPDATED,2019-09-16 01:01:31.000,2016-10-14 09:50:25.000,2019-09-20 13:00:21.273
54,1,V01,402,402GC,2073693200,207-369-3200,3200,Rumford VA Clinic,michelle.tancrede@va.gov,UPDATED,2019-09-16 01:06:02.000,2016-10-14 09:51:19.000,2019-09-20 13:00:21.273
55,1,V01,402,402GD,2072943100,207-294-3100,3100,Saco VA Clinic,michelle.tancrede@va.gov,UPDATED,2019-08-18 00:40:57.000,2016-10-14 09:51:56.000,2019-09-20 13:00:21.273
56,1,V01,402,402GE,2073302700,207-330-2700,2700,Lewiston VA Clinic,michelle.tancrede@va.gov,UPDATED,2019-09-02 22:00:17.000,2016-10-14 09:52:44.000,2019-09-20 13:00:21.273
57,2,V09,614,614,9015238990,901-523-8990,6152,Memphis VA Medical Center,reinaldo.roman@va.gov,UPDATE DUE,2019-09-09 00:55:17.000,2016-10-14 09:53:41.000,2019-09-20 13:00:21.273
58,1,V01,402,402HB,2075613600,207-561-3600,3600,Bangor VA Clinic,michelle.tancrede@va.gov,UPDATED,2019-09-16 01:01:44.000,2016-10-14 09:53:56.000,2019-09-20 13:00:21.273
59,2,V08,675,675GD,3864562080,386-456-2080,NULL,Deltona VA Clinic,marty.hogan@va.gov,UPDATED,2019-09-18 16:41:05.000,2016-10-14 09:56:27.000,2019-09-20 13:00:21.273
60,2,V08,675,675GE,3522352900,352-235-2900,NULL,Tavares VA Clinic,marty.hogan@va.gov,UPDATED,2019-09-18 16:41:08.000,2016-10-14 09:57:35.000,2019-09-20 13:00:21.273
61,2,V08,675,675GF,3525368200,352-536-8200,NULL,Clermont VA Clinic,marty.hogan@va.gov,UPDATED,2019-09-18 16:41:23.000,2016-10-14 10:00:25.000,2019-09-20 13:00:21.273
62,2,V08,675,675GG,4076465400,407-646-5400,NULL,Lake Baldwin VA Clinic,marty.hogan@va.gov,UPDATED,2019-09-18 16:36:03.000,2016-10-14 10:02:42.000,2019-09-20 13:00:21.273
63,2,V08,548,548,5614228234,561-422-8234,NULL,West Palm Beach VA Medical Center,jeffery.duggins@va.gov,UPDATED,2019-09-18 16:05:56.000,2016-10-14 10:41:04.000,2019-09-20 13:00:21.273
64,2,V08,548,548GE,5614228234,561-422-8234,NULL,Vero Beach VA Clinic,jeffery.duggins@va.gov,UPDATED,2019-09-18 16:05:58.000,2016-10-14 10:42:16.000,2019-09-20 13:00:21.273
65,2,V08,548,548GB,5614228234,561-422-8234,NULL,Delray Beach VA Clinic,jeffery.duggins@va.gov,UPDATE DUE,2019-09-18 16:05:48.000,2016-10-14 10:43:07.000,2019-09-20 13:00:21.273
66,2,V08,548,548GA,5614228234,561-422-8234,NULL,Fort Pierce VA Clinic,jeffery.duggins@va.gov,UPDATED,2019-09-18 16:05:55.000,2016-10-14 10:43:47.000,2019-09-20 13:00:21.273
67,2,V08,548,548GC,5614228234,561-422-8234,NULL,Stuart VA Clinic,jeffery.duggins@va.gov,UPDATED,2019-09-18 16:05:54.000,2016-10-14 10:45:32.000,2019-09-20 13:00:21.273
68,2,V08,548,548GD,5614228234,561-422-8234,NULL,Boca Raton VA Clinic,jeffery.duggins@va.gov,UPDATE DUE,2019-09-18 16:01:53.000,2016-10-14 10:45:57.000,2019-09-20 13:00:21.273
69,2,V08,548,548GF,5614228234,561-422-8234,NULL,Okeechobee VA Clinic,jeffery.duggins@va.gov,UPDATE DUE,2019-09-08 02:17:54.000,2016-10-14 10:46:19.000,2019-09-20 13:00:21.273
70,4,V19,575,575,9702632824,970-263-2824,NULL,Grand Junction VA Medical Center,richard.schlax@va.gov,UPDATED,2019-09-16 01:01:46.000,2016-10-14 11:16:53.000,2019-09-20 13:00:21.273
71,1,V01,650,650,4012737100,401-273-7100,3057,Providence VA Medical Center,robert.swift@va.gov,UPDATED,2019-09-13 22:35:45.000,2016-10-14 11:22:31.000,2019-09-20 13:00:21.273
72,2,V08,546,546GH,3055757000,305-575-7000,3214,Deerfield Beach VA Clinic,paul.briggs@va.gov,PENDING POC,2018-07-27 21:53:03.000,2016-10-14 11:50:27.000,2019-09-20 13:00:21.273
73,2,V08,546,546GD,3055757000,305-575-7000,3219,Pembroke Pines VA Clinic,richard.mendez@va.gov,UPDATE DUE,2019-09-15 02:16:50.000,2016-10-14 11:51:09.000,2019-09-20 13:00:21.273
74,2,V08,546,546GB,3052934827,305-293-4827,NULL,Key West VA Clinic,douglas.eaton@va.gov,UPDATE DUE,2019-09-18 15:59:23.000,2016-10-14 11:53:33.000,2019-09-20 13:00:21.273
75,2,V08,546,546GC,3055757664,305-575-7664,NULL,Homestead VA Clinic,ana.gonzalez2@va.gov,UPDATE DUE,2019-09-09 01:01:10.000,2016-10-14 11:54:16.000,2019-09-20 13:00:21.273
76,2,V08,546,546GE,3055757664,305-575-7664,NULL,Key Largo VA Clinic,ana.gonzalez2@va.gov,UPDATE DUE,2019-09-09 01:01:10.000,2016-10-14 11:55:05.000,2019-09-20 13:00:21.273
77,2,V08,546,546GF,3055757000,305-575-7000,3214,Hollywood VA Clinic,ann.berger@va.gov,UPDATE DUE,2019-09-18 16:01:53.000,2016-10-14 11:56:04.000,2019-09-20 13:00:21.273
78,1,V04,529,529GA,8003628262,800-362-8262,NULL,Michael A. Marzano Department of Veterans Affairs Outpatient Clinic,nancy.reesman@va.gov,UPDATED,2019-09-17 08:02:25.000,2016-10-14 11:57:02.000,2019-09-20 13:00:21.273
79,1,V04,529,529GB,8882669040,888-266-9040,NULL,Lawrence County VA Clinic,nancy.reesman@va.gov,UPDATED,2019-09-17 08:02:25.000,2016-10-14 11:57:44.000,2019-09-20 13:00:21.273
80,1,V04,529,529GC,8882669040,888-266-9040,NULL,Armstrong County VA Clinic,nancy.reesman@va.gov,UPDATED,2019-09-17 00:35:21.000,2016-10-14 11:58:19.000,2019-09-20 13:00:21.273
81,3,V12,676,676,6083723971,608-372-3971,64405,Tomah VA Medical Center,james.olson3@va.gov,UPDATED,2019-09-18 17:50:42.000,2016-10-14 12:07:37.000,2019-09-20 13:00:21.273
82,3,V12,676,676GA,6083723971,608-372-3971,64405,Wausau VA Clinic,james.olson3@va.gov,UPDATED,2019-08-08 07:37:04.000,2016-10-14 12:08:22.000,2019-09-20 13:00:21.273
83,3,V12,676,676GC,6083723971,608-372-3971,64405,River Valley VA Clinic,james.olson3@va.gov,UPDATED,2019-08-19 01:00:41.000,2016-10-14 12:08:59.000,2019-09-20 13:00:21.273
84,3,V12,676,676GD,6083723971,608-372-3971,64405,Wisconsin Rapids VA Clinic,james.olson3@va.gov,UPDATED,2019-08-08 07:37:23.000,2016-10-14 12:10:53.000,2019-09-20 13:00:21.273
85,3,V12,676,676GE,6083723971,608-372-3971,64405,Clark County VA Clinic,james.olson3@va.gov,UPDATED,2019-08-08 07:38:10.000,2016-10-14 12:11:24.000,2019-09-20 13:00:21.273
86,4,V19,666,666GB,8663385168,866-338-5168,NULL,Casper VA Clinic,janet.tams@va.gov,UPDATED,2019-09-15 02:36:20.000,2016-10-14 12:11:50.000,2019-09-20 13:00:21.273
87,4,V19,666,666GC,8663382609,866-338-2609,NULL,Riverton VA Clinic,janet.tams@va.gov,UPDATED,2019-09-14 20:05:41.000,2016-10-14 12:12:30.000,2019-09-20 13:00:21.273
88,4,V19,666,666GD,3075874015,307-587-4015,NULL,Cody VA Clinic,janet.tams@va.gov,UPDATED,2019-08-26 01:00:18.000,2016-10-14 12:13:10.000,2019-09-20 13:00:21.273
89,4,V19,666,666GE,8666211887,866-621-1887,NULL,Gillette VA Clinic,janet.tams@va.gov,UPDATED,2019-09-14 20:05:38.000,2016-10-14 12:13:47.000,2019-09-20 13:00:21.273
90,4,V19,666,666GF,8663812830,866-381-2830,NULL,Rock Springs VA Clinic,janet.tams@va.gov,UPDATED,2019-09-16 01:06:02.000,2016-10-14 12:14:25.000,2019-09-20 13:00:21.273
91,3,V15,657,657A0,3146524100,314-652-4100,66653,St. Louis VA Medical Center-Jefferson Barracks,joanne.joseph@va.gov,UPDATED,2019-09-14 19:21:07.000,2016-10-14 12:26:40.000,2019-09-20 13:00:21.273
92,2,V09,621,621BY,4239261171,423-926-1171,7709,William C. Tallent Department of Veterans Affairs Outpatient Clinic,laura.rasnake@va.gov,UPDATED,2019-09-08 02:20:53.000,2016-10-14 12:30:09.000,2019-09-20 13:00:21.273
93,3,V10,655,655,9894972500,989-497-2500,11959,Aleda E. Lutz Department of Veterans Affairs Medical Center,nazzareno.liegghio@va.gov,UPDATE DUE,2019-09-18 17:20:45.000,2016-10-14 12:39:45.000,2019-09-20 13:00:21.273
94,2,V09,621,621,4239261171,423-926-1171,7709,James H. Quillen Department of Veterans Affairs Medical Center,laura.rasnake@va.gov,UPDATED,2019-09-18 16:41:06.000,2016-10-14 12:42:51.000,2019-09-20 13:00:21.273
95,2,V09,621,621GC,4239261171,423-926-1171,7709,Norton VA Clinic,laura.rasnake@va.gov,UPDATED,2019-09-18 16:41:02.000,2016-10-14 12:44:15.000,2019-09-20 13:00:21.273
96,2,V09,621,621GI,4239261171,423-926-1171,7709,Sevierville VA Clinic,laura.rasnake@va.gov,UPDATED,2019-09-18 16:41:12.000,2016-10-14 12:45:29.000,2019-09-20 13:00:21.273
